iter	Passed	Remaining
666	5391	1075
667	5394	1066
668	5398	1057
669	5402	1048
670	5405	1039
671	5408	1030
672	5412	1021
673	5415	1012
674	5418	1003
675	5422	994
676	5425	985
677	5428	976
678	5432	968
679	5435	959
680	5438	950
681	5441	941
682	5445	932
683	5448	923
684	5451	915
685	5454	906
686	5457	897
687	5461	889
688	5464	880
689	5467	871
690	5471	863
691	5475	854
692	5478	845
693	5481	837
694	5485	828
695	5489	820
696	5492	811
697	5496	803
698	5500	794
699	5504	786
700	5508	777
701	5511	769
702	5514	760
703	5517	752
704	5520	743
705	5523	735
706	5526	726
707	5529	718
708	5532	710
709	5536	701
710	5539	693
711	5542	685
712	5545	676
713	5549	668
714	5552	660
715	5555	651
716	5558	643
717	5561	635
718	5564	626
719	5567	618
720	5570	610
721	5573	602
722	5576	593
723	5579	585
724	5582	577
725	5586	569
726	5589	561
727	5592	553
728	5595	544
729	5598	536
730	5601	528
731	5604	520
732	5607	512
733	5610	504
734	5614	496
735	5617	488
736	5620	480
737	5623	472
738	5627	464
739	5630	456
740	5633	448
741	5636	440
742	5639	432
743	5643	424
744	5646	416
745	5649	408
746	5652	401
747	5656	393
748	5660	385
749	5663	377
750	5666	369
751	5669	361
752	5672	354
753	5676	346
754	5679	338
755	5683	330
756	5686	323
757	5689	315
758	5693	307
759	5696	299
760	5699	292
761	5703	284
762	5707	276
763	5710	269
764	5713	261
765	5717	253
766	5720	246
767	5724	238
768	5728	230
769	5731	223
770	5735	215
771	5738	208
772	5743	200
773	5746	193
774	5750	185
775	5755	178
776	5759	170
777	5763	162
778	5768	155
779	5772	148
780	5776	140
781	5779	133
782	5782	125
783	5786	118
784	5790	110
785	5793	103
786	5796	95
787	5800	88
788	5804	80
789	5807	73
790	5809	66
791	5812	58
792	5816	51
793	5820	43
794	5823	36
795	5826	29
796	5829	21
797	5833	14
798	5836	7
799	5839	0
69	14
798	5773	7
799	5776	0
04	232
782	10109	219
783	10113	206
784	10117	193
785	10122	180
786	10135	167
787	10148	154
788	10152	141
789	10160	128
790	10164	115
791	10169	102
792	10175	89
793	10181	76
794	10186	64
795	10192	51
796	10197	38
797	10202	25
798	10210	12
799	10216	0
0637	66
795	10643	53
796	10649	40
797	10656	26
798	10662	13
799	10704	0
12231	30
798	12244	15
799	12260	0
