iter	RMSE
0	1402.458692
1	1351.142403
2	1301.647314
3	1255.819063
4	1212.477231
5	1169.445714
6	1128.852769
7	1089.750488
8	1053.5951
9	1019.821922
10	987.1378727
11	958.2094213
12	929.0837336
13	905.1498264
14	880.1853079
15	855.1909042
16	832.2494372
17	810.0564102
18	789.1546218
19	769.7124968
20	751.7669004
21	735.3676077
22	717.6433569
23	702.0432052
24	687.7583049
25	674.0354079
26	659.8252607
27	646.8555504
28	633.5400911
29	621.0190368
30	609.0754581
31	599.2283552
32	588.7172646
33	580.4470435
34	571.009785
35	562.2342414
36	554.2980198
37	546.2693666
38	538.7254436
39	531.3386245
40	524.2139169
41	518.1741707
42	512.5627862
43	506.097702
44	500.8036142
45	494.8983655
46	489.3020509
47	483.9585806
48	478.8045849
49	474.4543578
50	469.0202652
51	465.6880278
52	462.055921
53	458.587049
54	454.4579409
55	450.8906211
56	447.101568
57	443.4496769
58	440.1829578
59	436.7358606
60	433.4154069
61	430.9876977
62	428.322099
63	425.9647153
64	423.4420825
65	420.7095768
66	418.5346374
67	416.6718035
68	413.8312762
69	411.344479
70	409.5858913
71	407.5617314
72	405.3243188
73	403.0538521
74	400.8576538
75	398.7658241
76	396.9535201
77	395.158946
78	393.689746
79	391.8530935
80	390.0440274
81	388.7499368
82	387.6158314
83	386.1603359
84	384.2193598
85	382.7733115
86	381.0173626
87	379.4130216
88	378.164775
89	376.9838888
90	375.2203064
91	373.7258332
92	372.1046887
93	371.1915692
94	369.3175515
95	368.1142255
96	367.2901525
97	365.5173932
98	364.1529532
99	362.7410122
100	361.6786743
101	360.6350661
102	359.5098987
103	358.4052027
104	357.5761189
105	356.5934775
106	355.6793461
107	354.7929973
108	353.785335
109	352.236708
110	351.1285865
111	350.5104028
112	349.5229315
113	348.8490583
114	347.936227
115	347.115976
116	345.9004724
117	344.7269411
118	343.9813716
119	343.4539637
120	342.4651028
121	341.9056146
122	340.9091727
123	339.9208625
124	338.981044
125	338.0862544
126	337.0608199
127	335.8618956
128	335.3349309
129	334.5492999
130	333.8652568
131	333.4475675
132	332.373652
133	331.6273502
134	330.8699452
135	329.9118248
136	329.502003
137	328.577545
138	327.9651878
139	327.1234586
140	326.3121738
141	325.4492452
142	324.9779045
143	324.3140996
144	323.7729084
145	323.0775146
146	322.4719126
147	322.1191148
148	321.4180466
149	320.8692757
150	320.0433655
151	319.4808824
152	318.6524521
153	317.9468938
154	317.2816686
155	316.5260878
156	316.0037541
157	315.3814371
158	314.627484
159	313.8921105
160	313.2063624
161	312.6552332
162	311.9918139
163	311.5544234
164	311.1683287
165	310.8370753
166	309.8435171
167	308.9020695
168	308.3151754
169	307.8062794
170	307.349861
171	306.5981151
172	305.6769146
173	304.9300331
174	304.390418
175	304.0481161
176	303.6608588
177	303.0151624
178	302.5595665
179	302.1042471
180	301.5570731
181	301.1063889
182	300.5791594
183	300.020991
184	299.5268025
185	298.7463436
186	298.2689302
187	297.8751942
188	297.3618892
189	296.6711115
190	296.4161674
191	295.7413823
192	294.9563813
193	294.4184451
194	293.7514247
195	293.2665793
196	292.7226999
197	292.2027826
198	291.5783392
199	291.012417
200	290.4133581
201	289.8671596
202	289.213279
203	288.7152039
204	288.0421055
205	287.6230684
206	287.2274483
207	286.78688
208	286.3110173
209	285.7587537
210	285.1774752
211	284.9697874
212	284.2318219
213	283.6754037
214	283.2268358
215	282.9144766
216	282.7384258
217	282.3562614
218	281.7754453
219	281.4144865
220	281.0358872
221	280.5734723
222	280.0104789
223	279.5357208
224	279.0795102
225	278.8405255
226	278.5309451
227	278.2004517
228	277.697171
229	277.2364668
230	276.6866541
231	276.3224553
232	276.077518
233	275.8771961
234	275.4133311
235	274.8407147
236	274.5813452
237	274.2076257
238	273.8649446
239	273.4431002
240	273.0435637
241	272.4606028
242	272.1292562
243	271.8093077
244	271.4304307
245	271.0950294
246	270.6938293
247	270.3130611
248	269.768238
249	269.4730755
250	269.0075581
251	268.7890327
252	268.5070951
253	268.2460019
254	267.9292685
255	267.5508273
256	267.08021
257	266.4632566
258	265.9291121
259	265.5564437
260	265.2074751
261	264.6879964
262	264.2074973
263	263.9724976
264	263.6167566
265	263.2829131
266	262.9005454
267	262.6675614
268	262.3974006
269	261.8856967
270	261.663235
271	261.3716204
272	261.1124763
273	260.5848509
274	260.2770455
275	259.7255953
276	259.2611813
277	259.0148927
278	258.8491476
279	258.6107537
280	258.3823785
281	258.0602982
282	257.6056164
283	257.3175986
284	256.9891414
285	256.602758
286	256.1964351
287	255.8356012
288	255.5501647
289	255.4069405
290	255.201979
291	254.8376751
292	254.4953226
293	254.1721767
294	253.8501617
295	253.4288383
296	253.136581
297	253.0000653
298	252.7036449
299	252.4804231
300	251.9133069
301	251.6985734
302	251.487029
303	251.1538843
304	250.8933282
305	250.6593857
306	250.2904634
307	250.0087877
308	249.7522948
309	249.4686799
310	249.352376
311	249.0131392
312	248.6983136
313	248.3473216
314	248.1305685
315	247.8913358
316	247.6408272
317	247.4707196
318	247.365532
319	247.1774937
320	247.0593031
321	246.7932528
322	246.5653563
323	246.4148878
324	245.9509822
325	245.7757361
326	245.6113753
327	245.4708886
328	245.2571665
329	245.1214451
330	244.595
331	244.3916324
332	244.2606289
333	244.0878226
334	243.9164214
335	243.687437
336	243.4007247
337	243.1336628
338	242.7427291
339	242.5484816
340	242.3641182
341	242.2116588
342	242.0450573
343	241.8958491
344	241.7569702
345	241.4982478
346	241.3605356
347	241.2429759
348	240.9865095
349	240.7641482
350	240.5653858
351	240.3603359
352	240.1204053
353	239.8057216
354	239.5700756
355	239.3100604
356	239.1915128
357	239.0559646
358	238.5425641
359	238.193296
360	238.0522258
361	237.9539003
362	237.7125973
363	237.5554936
364	237.1279641
365	236.9276775
366	236.5593878
367	236.2723624
368	236.152422
369	235.7364512
370	235.5692322
371	235.4726371
372	235.2847132
373	235.1823502
374	235.0718694
375	234.6629153
376	234.5172054
377	234.2264636
378	234.056865
379	233.8859725
380	233.7624192
381	233.3445232
382	233.1730724
383	233.0573247
384	232.6774265
385	232.5511351
386	232.3933245
387	232.1788801
388	231.9436369
389	231.6382529
390	231.4794232
391	231.1227171
392	230.6414285
393	230.4069942
394	230.1926358
395	230.0863527
396	229.8218293
397	229.7248803
398	229.2089857
399	229.0385213
400	228.8659154
401	228.6788762
402	228.3611373
403	228.132422
404	227.6545436
405	227.516495
406	227.4239511
407	227.295675
408	227.1954312
409	226.827489
410	226.445863
411	226.309612
412	226.0131741
413	225.6798731
414	225.4770552
415	225.2781734
416	224.9847595
417	224.6257522
418	224.2544549
419	223.8030758
420	223.437253
421	223.2649086
422	223.1205329
423	222.9750346
424	222.8693289
425	222.5786675
426	222.4442778
427	222.1320168
428	221.7931582
429	221.4344158
430	221.2159294
431	220.9901676
432	220.6534595
433	220.3652869
434	220.1201376
435	219.7364592
436	219.608447
437	219.4786464
438	219.3516318
439	219.2086156
440	219.0399047
441	218.9474151
442	218.825214
443	218.6524808
444	218.4491676
445	218.2464454
446	218.05471
447	217.7187126
448	217.5775512
449	217.2253296
450	216.9946098
451	216.6442795
452	216.1884331
453	215.8405095
454	215.6316725
455	215.4557062
456	215.3620498
457	215.1698662
458	214.9534532
459	214.7628254
460	214.6583465
461	214.3829339
462	214.1985637
463	214.019131
464	213.8444788
465	213.547353
466	213.211152
467	212.8247183
468	212.6481071
469	212.4235094
470	212.2504148
471	212.0260962
