title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe Mazda CX8 Premium AWD	2021,839 Triệu,16 Dương Đình Nghệ Cầu Giấy Hà Nội Hà Nội,Xe đã dùng,2021,Trong nước,Xăng 2.5 L,SUV,Số tự động,"58,000 Km",AWD - 4 bánh toàn thời gian,Xanh,Đen,5 cửa,7 chỗ
Xe Nissan Navara EL 2.5 AT 2WD	2017,390 Triệu,"Đường Hoàng Liệt, Linh Đàm Hà Nội",Xe đã dùng,2017,Nhập khẩu,Dầu 2.5 L,Bán tải / Pickup,Số tự động,"120,000 Km",RFD - Dẫn động cầu sau,Nâu,Kem,4 cửa,5 chỗ
Xe Ford Ranger XLS 2.0L 4x4 AT	2025,676 Triệu,"Km số 8 đường Giải Phóng Pháp Vân, Phường Yên Sở, Hà Nội (Cạnh bến xe Nước Ngầm) Hà Nội",Xe mới,2025,Trong nước,Dầu 2.0 L,Bán tải / Pickup,Số tự động,-,4WD - Dẫn động 4 bánh,Đen,Đen,4 cửa,5 chỗ
Xe Toyota Land Cruiser 3.5 V6	2025,4 Tỷ 580 Triệu,Hà Đông Hà Nội,Xe mới,2025,Nhập khẩu,Xăng 3.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Lexus RX 300 F Sport	2022,3 Tỷ 180 Triệu,Hà Nội Hà Nội,Xe đã dùng,2022,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"20,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Đen,5 cửa,5 chỗ
Xe Toyota Land Cruiser 3.5 V6	2025,4 Tỷ 580 Triệu,Thanh Xuân Hà Nội,Xe mới,2025,Nhập khẩu,Xăng 3.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Ford Territory Trend 1.5 AT	2025,699 Triệu,"161F Dạ Nam, Phường 03, Quận 8 TP HCM",Xe mới,2025,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Đồng,Nhiều màu,5 cửa,5 chỗ
Xe Ford Ranger XLS 2.0L 4x2 AT	2025,611 Triệu,Thành Phố Hà Nội Hà Nội,Xe mới,2025,Trong nước,Dầu 2.0 L,Bán tải / Pickup,Số tự động,-,RFD - Dẫn động cầu sau,Trắng,Đen,4 cửa,5 chỗ
Xe Toyota Raize G 1.0 CVT	2022,475 Triệu,"Trường T78, QL32, Tích Giang, Phúc Thọ Hà Nội",Xe đã dùng,2022,Nhập khẩu,Xăng 1.0 L,SUV,Số tự động,"32,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Ford Transit Premium	2025,889 Triệu,Thành Phố Hà Nội Hà Nội,Xe mới,2025,Trong nước,Dầu 2.3 L,Van/Minivan,Số tay,-,RFD - Dẫn động cầu sau,Bạc,-,4 cửa,16 chỗ
Xe Hyundai SantaFe Prestige 2.5L HTRAC	2024,1 Tỷ 85 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2024,Trong nước,Xăng 2.5 L,SUV,Số tự động,"19,000 Km",AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Honda CRV L	2020,785 Triệu,"Số 06 KĐT Lão Thành Cách Mạng P.Yên Hoà, Quận Cầu Giấy Hà Nội",Xe đã dùng,2020,Trong nước,Xăng 1.5 L,SUV,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,7 chỗ
