price_million,km,year,brand,model,transmission,fuel_type,body_type,origin,condition,seats,city,engine,engine_missing,source,age,km_per_year,is_luxury,transmission_encoded,fuel_type_encoded,origin_encoded,condition_encoded,source_encoded,brand_freq,model_freq,city_freq,body_type_freq
1499.999999,59000.0,2014.0,Toyota,Sienna,AT,Xăng,Minivan (MPV),Nhập khẩu,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,11.0,5363.636363636364,0,0,2,0,0,1,0.1615358244772026,0.0004799451491258142,0.2584161810078848,0.03489886870071992
83.0,50000.0,2011.0,Haima,3,MT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Vĩnh Phúc,0.0,1,chotot,14.0,3571.4285714285716,0,1,2,0,0,1,6.856359273225918e-05,0.008433321906067878,0.006993486458690436,0.2631470689064107
120.0,275000.0,2008.0,Toyota,Vios,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,17.0,16176.470588235294,0,1,2,1,0,1,0.1615358244772026,0.01076448405896469,0.2584161810078848,0.2631470689064107
55.0,0.0,2000.0,Toyota,Corolla,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Thanh Hóa,0.0,1,chotot,25.0,0.0,0,1,2,1,0,1,0.1615358244772026,0.0004799451491258142,0.005142269454919438,0.2631470689064107
235.0,100000.0,2017.0,Toyota,Dòng khác,MT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Bình Dương,0.0,1,chotot,8.0,12500.0,0,1,2,0,0,1,0.1615358244772026,0.00987315735344532,0.026534110387384298,0.2631470689064107
815.0,14000.0,2022.0,Peugeot,3008,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Bà Rịa,0.0,1,chotot,3.0,4666.666666666667,0,0,2,1,0,1,0.01151868357901954,0.0021254713747000343,0.00747343160781625,0.10010284538909839
639.0,70000.0,2022.0,Toyota,Corolla Cross,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,3.0,23333.333333333332,0,0,2,0,0,1,0.1615358244772026,0.0017826534110387383,0.2584161810078848,0.10010284538909839
70.0,100000.0,2013.0,Kia,Forte,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Khác,0.0,1,chotot,12.0,8333.333333333334,0,0,2,1,0,1,0.08049365786767226,0.0005485087418580734,0.010078848131642098,0.2631470689064107
325.0,120000.0,2021.0,Hyundai,Verna,MT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Quảng Nam,0.0,1,chotot,4.0,30000.0,0,1,2,0,0,1,0.08947548851559822,0.0002742543709290367,0.0023997257456290708,0.2631470689064107
1300.0,13000.0,2024.0,Ford,Everest,AT,Dầu,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,1.0,13000.0,0,0,0,1,0,1,0.11155296537538567,0.0056907781967775115,0.2584161810078848,0.10010284538909839
360.0,65000.0,2018.0,Mazda,2,AT,Xăng,Hatchback,Nhập khẩu,Cũ,5.0,Lâm Đồng,0.0,1,chotot,7.0,9285.714285714286,0,0,2,0,0,1,0.049022968803565305,0.004045251971203291,0.007679122386013027,0.0770654782310593
